model,param1,value1,param2,value2,deltaB_FIRAS,deltaB_over_Bcmb,compatible
log_sigmoid,lambda_c_m,1.0600258488068825e-06,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.2263306841775643e-06,sharpness,2.0,4.608737051298162e-07,6.00878363924141e-06,True
log_sigmoid,lambda_c_m,1.2263306841775643e-06,sharpness,4.0,2.783218100432805e-12,3.628706780225299e-11,True
log_sigmoid,lambda_c_m,1.2263306841775643e-06,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.2263306841775643e-06,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.2263306841775643e-06,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.4187266741165963e-06,sharpness,2.0,6.168269230943935e-07,8.04207200905337e-06,True
log_sigmoid,lambda_c_m,1.4187266741165963e-06,sharpness,4.0,4.9855258810183045e-12,6.500033743179014e-11,True
log_sigmoid,lambda_c_m,1.4187266741165963e-06,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.4187266741165963e-06,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.4187266741165963e-06,sharpness,32.0,0.0,0.0,True
